Log,cp_temperature,mixer_temperature_Funnel_outlet,ac_flowrate,cp_pressure,cp_flowrate,mixer_speed_M2,mixer_temperature_Funnel_plate,mixer_pressure,mixer_motor_temperature_M1,mixer_torque_M1,mixer_motor_temperature_M2,mixer_torque_M2,mixer_temperature_Funnel,mixer_speed_M1,Time
183,0.0,26.3,51.8,0.645,1.5,120.245,27.9,0.288,32.0,3.323,34.9,3.7,26.9,120.245,11:23:21.376
184,0.0,26.3,51.8,0.634,1.5,119.967,27.9,0.237,32.0,3.587,34.7,3.172,25.4,119.967,11:23:22.502
185,0.0,26.3,51.8,0.62,1.5,119.66,28.0,0.283,32.0,3.512,35.1,3.776,25.4,119.66,11:23:23.615
186,0.0,28.4,51.8,0.635,1.5,119.914,27.9,0.284,32.2,4.947,34.9,3.172,26.9,119.914,11:23:24.722
187,0.0,26.3,51.8,0.626,1.5,120.083,27.9,0.27,31.6,3.7,35.3,3.7,25.4,120.083,11:23:25.841
188,0.0,26.3,51.8,0.62,1.5,120.024,29.4,0.245,32.0,4.154,34.9,4.116,25.4,120.024,11:23:26.965
189,0.0,26.3,51.8,0.654,1.5,119.421,29.4,0.281,32.0,3.889,34.9,3.738,25.4,119.421,11:23:28.103
190,0.0,26.3,51.8,0.635,1.5,119.236,27.9,0.289,32.4,3.927,34.9,3.021,25.4,119.236,11:23:29.224
191,0.0,28.3,51.8,0.597,1.5,120.017,27.9,0.271,32.2,3.323,34.7,3.889,26.9,120.017,11:23:30.345
192,0.0,26.2,51.8,0.659,1.5,120.507,27.9,0.273,32.2,3.738,34.9,3.323,25.4,120.507,11:23:31.474
193,0.0,26.3,51.8,0.638,1.5,120.636,29.4,0.278,32.0,3.096,34.9,3.7,25.4,120.636,11:23:32.595
194,0.0,26.2,51.8,0.641,1.5,120.909,29.4,0.3,32.2,3.587,35.5,3.852,25.4,120.909,11:23:33.714
195,0.0,28.3,51.8,0.62,1.5,119.921,27.9,0.31,32.0,3.247,34.9,4.267,26.9,119.921,11:23:34.815
196,0.0,26.3,51.8,0.656,1.5,119.514,27.9,0.278,32.4,4.418,34.9,3.852,25.4,119.514,11:23:35.945
197,0.0,26.3,51.8,0.649,1.5,120.143,29.4,0.295,32.0,3.172,35.1,3.852,25.4,120.143,11:23:37.050
198,0.0,28.3,51.8,0.616,1.5,118.927,27.9,0.323,32.4,4.456,34.7,3.738,26.9,118.927,11:23:38.158
199,0.0,28.3,51.8,0.646,1.5,119.441,27.9,0.254,32.0,4.229,34.7,3.21,25.4,119.441,11:23:39.282
200,0.0,26.3,51.8,0.648,1.5,120.026,29.4,0.278,31.6,3.323,34.7,3.7,25.4,120.026,11:23:40.390
