Log,ac_flowrate,mixer_torque_M1,mixer_torque_M2,cp_temperature,cp_flowrate,mixer_pressure,mixer_temperature_Funnel,mixer_speed_M2,mixer_motor_temperature_M2,mixer_motor_temperature_M1,cp_pressure,mixer_speed_M1,Time
178,0.0,3.021,3.625,24.9,1.5,0.28,23.7,119.821,22.5,21.1,0.481,119.821,12:20:55.436
179,0.0,2.53,2.945,24.9,1.5,0.254,23.7,120.055,22.5,20.7,0.481,120.055,12:20:56.541
180,0.0,2.908,3.21,24.9,1.5,0.25,25.2,120.001,22.3,20.9,0.45,120.001,12:20:57.647
181,0.0,3.398,3.21,26.4,1.5,0.303,23.7,120.218,22.7,20.4,0.433,120.218,12:20:58.748
182,0.0,2.077,3.663,24.9,1.5,0.206,25.2,120.21,22.0,20.9,0.433,120.21,12:20:59.853
183,0.0,2.983,3.096,26.4,1.5,0.317,23.7,119.312,22.7,20.7,0.469,119.312,12:21:00.958
184,0.0,3.361,3.474,24.9,1.5,0.26,23.7,119.726,22.5,21.3,0.45,119.726,12:21:02.066
185,0.0,3.663,3.398,24.9,1.5,0.254,25.2,119.829,22.3,20.4,0.503,119.829,12:21:03.184
186,0.0,3.814,3.7,24.9,1.5,0.319,23.7,120.066,22.3,20.4,0.482,120.066,12:21:04.296
187,0.0,2.87,3.134,26.4,1.5,0.238,23.7,119.292,22.7,20.4,0.465,119.292,12:21:05.415
188,0.0,2.417,2.115,24.9,1.5,0.243,25.2,120.672,22.3,20.2,0.479,120.672,12:21:06.522
189,0.0,3.096,3.814,26.4,1.5,0.261,23.7,120.286,22.3,20.9,0.488,120.286,12:21:07.630
190,0.0,3.059,3.776,24.9,1.5,0.233,23.7,120.694,22.7,20.2,0.45,120.694,12:21:08.740
191,0.0,2.303,3.398,24.9,1.5,0.276,25.2,120.553,22.0,20.4,0.421,120.553,12:21:09.852
192,0.0,3.549,3.059,25.0,1.5,0.254,23.7,119.442,22.5,21.1,0.46,119.442,12:21:10.961
193,0.0,3.172,2.983,26.4,1.5,0.243,23.7,119.778,22.3,21.3,0.453,119.778,12:21:12.080
194,0.0,3.738,3.21,25.0,1.5,0.304,25.2,119.929,22.7,21.3,0.492,119.929,12:21:13.185
195,0.0,2.681,2.983,26.4,1.5,0.243,23.7,120.403,22.5,21.3,0.458,120.403,12:21:14.281
196,0.0,2.605,3.21,25.0,1.5,0.264,23.7,119.95,22.7,20.0,0.468,119.95,12:21:15.392
197,0.0,4.531,2.832,25.0,1.5,0.269,23.7,119.698,22.7,21.1,0.464,119.698,12:21:16.505
198,0.0,2.832,3.776,26.4,1.5,0.264,23.7,120.357,22.7,20.7,0.468,120.357,12:21:17.611
199,0.0,3.436,4.342,26.4,1.5,0.31,23.7,119.69,22.7,20.2,0.444,119.69,12:21:18.749
200,0.0,2.077,3.285,25.0,1.5,0.248,25.2,122.386,22.7,20.4,0.438,122.386,12:21:19.856
201,0.0,3.172,3.285,25.0,1.5,0.227,23.7,119.225,22.7,20.9,0.453,119.225,12:21:20.962
202,0.0,3.059,3.889,25.0,1.5,0.242,23.7,120.23,22.7,20.7,0.455,120.23,12:21:22.071
203,0.0,3.549,3.247,25.0,1.5,0.232,25.2,119.214,22.7,20.9,0.47,119.214,12:21:23.192
204,0.0,3.625,3.247,25.0,1.5,0.259,23.7,119.602,22.7,20.9,0.45,119.602,12:21:24.315
205,0.0,2.945,3.323,26.4,1.5,0.255,23.7,119.575,22.3,20.9,0.483,119.575,12:21:25.438
206,0.0,3.663,2.719,26.4,1.5,0.248,23.7,119.871,22.7,20.7,0.492,119.871,12:21:26.563
207,0.0,2.605,3.852,25.0,1.5,0.255,23.7,120.277,22.7,21.1,0.501,120.277,12:21:27.674
208,0.0,2.719,3.625,25.0,1.5,0.26,23.7,120.914,22.7,20.7,0.479,120.914,12:21:28.790
209,0.0,2.341,4.078,26.4,1.5,0.273,23.7,120.061,22.5,20.4,0.444,120.061,12:21:29.894
210,0.0,3.512,2.417,25.0,1.5,0.227,23.7,119.75,23.2,21.3,0.469,119.75,12:21:31.003
211,0.0,2.87,3.474,25.0,1.5,0.259,23.7,119.846,22.7,20.7,0.476,119.846,12:21:32.157
212,0.0,4.796,3.134,25.0,1.5,0.216,23.7,118.77,22.7,21.1,0.487,118.77,12:21:33.261
213,0.0,2.756,3.814,26.4,1.5,0.219,23.7,121.106,23.2,20.9,0.459,121.106,12:21:34.374
214,0.0,2.605,3.474,25.0,1.5,0.256,25.2,120.163,22.5,20.9,0.507,120.163,12:21:35.479
215,0.0,3.361,3.398,25.0,1.5,0.264,25.2,119.99,22.7,20.9,0.476,119.99,12:21:36.618
216,0.0,4.078,3.7,25.0,1.5,0.242,23.7,118.914,22.7,20.4,0.465,118.914,12:21:37.738
217,0.0,2.53,3.7,26.5,1.5,0.251,23.7,120.152,22.9,21.1,0.46,120.152,12:21:38.861
218,0.0,2.945,3.21,26.5,1.5,0.216,23.7,120.343,22.7,20.4,0.47,120.343,12:21:39.984
219,0.0,3.172,3.625,25.0,1.5,0.259,23.7,119.212,23.2,21.1,0.492,119.212,12:21:41.107
220,0.0,3.059,2.794,25.0,1.5,0.291,23.7,119.634,22.7,20.7,0.479,119.634,12:21:42.212
221,0.0,3.625,4.229,26.5,1.5,0.27,23.7,119.956,22.7,20.9,0.455,119.956,12:21:43.327
222,0.0,2.794,3.059,25.0,1.5,0.286,23.7,119.845,22.7,20.9,0.455,119.845,12:21:44.448
223,0.0,3.285,2.945,25.0,1.5,0.237,23.7,120.255,22.7,21.3,0.446,120.255,12:21:45.574
224,0.0,4.569,3.587,25.0,1.5,0.261,25.2,119.027,23.2,20.9,0.505,119.027,12:21:46.694
225,0.0,3.512,4.003,25.0,1.5,0.295,23.7,120.372,23.2,20.9,0.416,120.372,12:21:47.817
226,0.0,3.172,3.7,26.5,1.5,0.266,23.7,119.807,22.7,20.9,0.479,119.807,12:21:48.936
227,0.0,3.7,3.021,25.0,1.5,0.299,23.7,119.832,22.3,20.4,0.468,119.832,12:21:50.058
228,0.0,2.53,4.154,25.0,1.5,0.245,25.2,120.773,22.9,20.9,0.483,120.773,12:21:51.182
229,0.0,3.587,3.814,25.0,1.5,0.322,23.7,119.592,23.2,21.3,0.439,120.513,12:21:52.302
230,0.0,2.228,3.323,26.5,1.5,0.288,23.7,120.161,23.2,21.3,0.443,120.161,12:21:53.409
